dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,pred_cnt
11,4,0,12,0,0,0,1,0.220833,0.49,0.0665417,6270.28
06,1,0,1,0,4,1,1,0.204348,0.518261,0.0895652,5097.14
03,1,1,3,0,6,0,2,0.414167,0.62125,0.161079,7292.64
01,2,0,6,0,3,1,2,0.764167,0.677083,0.207092,6239.16
14,2,0,6,0,2,1,1,0.604167,0.507083,0.269283,3181.9
06,3,0,7,0,3,1,1,0.72,0.743333,0.149883,823.26
05,2,1,6,0,2,1,2,0.540833,0.613333,0.209575,3802.62
24,3,0,8,0,3,1,1,0.673333,0.605,0.253108,3195.54
09,2,0,6,0,4,1,2,0.808333,0.568333,0.149883,7261.22
30,4,0,11,0,3,1,1,0.325,0.613333,0.271158,4478.26
25,3,0,6,0,6,0,1,0.695,0.483333,0.209571,6925.04
02,4,1,11,0,5,1,1,0.355,0.522083,0.266175,2218.86
17,4,1,10,0,3,1,1,0.455833,0.692917,0.101371,4431.38
14,4,0,10,0,5,1,2,0.550833,0.71625,0.223883,5813.16
30,1,1,12,0,0,0,1,0.255833,0.483333,0.350754,6519.82
16,2,1,4,1,1,0,1,0.664167,0.561667,0.284829,4459.24
17,2,0,5,0,2,1,2,0.561667,0.837917,0.277354,4169.42
20,1,1,2,1,1,0,1,0.28,0.507826,0.22908299999999998,2956.76
28,4,1,10,0,0,0,2,0.4775,0.694583,0.398008,2413.9
27,2,0,5,0,5,1,1,0.681667,0.65375,0.240679,4340.18
15,1,0,1,0,6,0,2,0.23333299999999998,0.49875,0.15796300000000002,4691.76
23,1,0,12,0,5,1,1,0.37333299999999997,0.68625,0.274246,4226.7
15,4,0,11,0,2,1,2,0.53,0.68875,0.199633,3980.26
25,3,1,7,0,3,1,1,0.724167,0.45,0.1648,3601.8
20,2,0,5,0,5,1,1,0.536667,0.719583,0.125013,4251.72
27,1,0,1,0,4,1,1,0.195,0.6875,0.113837,6484.92
28,3,1,7,0,6,0,1,0.755833,0.613333,0.15735,6284.52
18,4,1,11,0,0,0,1,0.3425,0.692917,0.22761199999999998,6920.06
19,2,1,5,0,6,0,1,0.6,0.45625,0.083975,2051.3
01,3,1,9,0,6,0,2,0.753333,0.638333,0.113187,7364.68
13,1,0,2,0,0,0,1,0.31652199999999997,0.457391,0.260883,6592.04
30,2,0,3,0,3,1,2,0.3,0.646667,0.17288800000000001,6234.1
02,2,0,5,0,1,1,2,0.549167,0.73,0.183454,5931.02
05,2,0,5,0,4,1,1,0.459167,0.44416700000000003,0.295392,4166.02
18,1,0,3,0,5,1,1,0.54,0.525217,0.231017,1956.84
01,2,1,4,0,0,0,2,0.425833,0.67625,0.172267,7299.32
11,4,0,10,0,2,1,2,0.566667,0.80875,0.143042,4273.82
23,1,0,2,0,3,1,1,0.221739,0.423043,0.094113,1837.4
19,4,0,10,0,3,1,3,0.5417390000000001,0.895217,0.243339,3248.18
18,3,0,7,0,1,1,1,0.746667,0.65125,0.215804,3968.34
05,4,0,12,0,1,1,2,0.385833,0.827083,0.06220830000000001,4404.98
27,3,1,7,0,5,1,1,0.781667,0.594583,0.15299200000000002,3722.08
16,2,0,4,0,6,0,3,0.43083299999999997,0.888333,0.340808,4914.84
05,1,0,3,0,6,0,2,0.384167,0.789167,0.251871,4410.0
20,4,0,11,0,0,0,2,0.463333,0.6845829999999999,0.18595,1348.38
11,2,1,6,0,1,1,2,0.720833,0.587917,0.207713,4366.0
25,4,0,10,0,2,1,1,0.471667,0.622917,0.166658,2410.9
14,4,1,10,0,0,0,1,0.521667,0.640417,0.27861199999999997,1953.92
26,4,0,9,0,1,1,2,0.649167,0.848333,0.1107,5110.28
12,3,1,9,0,3,1,1,0.599167,0.577083,0.131846,4115.7
17,3,1,9,0,1,1,2,0.580833,0.734583,0.15174200000000002,3581.26
01,4,1,10,0,1,1,2,0.520833,0.649167,0.09080419999999999,3351.26
29,4,1,10,0,1,1,3,0.44,0.88,0.3582,3811.78
27,4,0,9,0,2,1,2,0.636667,0.885417,0.118171,3779.42
15,4,1,10,0,1,1,2,0.561667,0.7075,0.296037,3500.8
23,4,0,11,0,3,1,2,0.440833,0.757917,0.335825,3378.62
30,2,1,3,0,5,1,2,0.37,0.580833,0.138067,1349.8
11,3,1,9,0,2,1,1,0.5775,0.52,0.09205419999999999,7022.44
04,1,0,3,0,5,1,2,0.261667,0.610417,0.203346,5579.62
21,4,0,11,0,1,1,3,0.4475,0.91,0.138054,5757.2
17,3,1,7,0,2,1,1,0.818333,0.505833,0.114429,2654.82
28,3,0,7,0,4,1,1,0.779167,0.583333,0.178479,2035.96
11,1,0,3,0,5,1,2,0.31652199999999997,0.649565,0.23296999999999998,4865.48
06,4,1,10,0,6,0,1,0.554167,0.664167,0.268025,2762.02
18,1,0,2,0,5,1,1,0.521667,0.516667,0.264925,3622.18
23,1,1,1,0,1,1,2,0.218333,0.91125,0.11070799999999999,4858.88
31,3,0,7,0,0,0,1,0.805833,0.480833,0.16481300000000002,7565.32
13,3,0,9,0,2,1,1,0.650833,0.7125,0.14180399999999999,4424.86
02,2,0,4,0,6,0,2,0.315,0.65375,0.19714600000000002,6686.94
06,2,1,6,0,3,1,1,0.554167,0.61125,0.077125,1851.82
18,4,0,12,0,0,0,1,0.238333,0.58625,0.16977899999999999,2295.9
10,3,1,8,0,5,1,2,0.7158329999999999,0.7158329999999999,0.238813,5285.94
13,1,1,2,0,1,1,1,0.2225,0.41125,0.167283,2179.04
30,4,1,9,0,0,0,1,0.526667,0.583333,0.134958,3247.98
10,2,0,4,0,0,0,2,0.426667,0.8575,0.146767,6500.6
17,2,1,5,0,4,1,1,0.593333,0.52,0.229475,1266.44
29,2,1,5,0,2,1,1,0.7225,0.6845829999999999,0.2954,4506.34
04,2,0,6,0,6,0,1,0.635,0.45625,0.123142,7110.5
11,4,1,10,0,4,1,1,0.435,0.463333,0.181596,3562.96
22,4,1,11,1,4,0,1,0.34,0.580417,0.05287080000000001,7757.72
24,1,0,2,0,4,1,2,0.295652,0.697391,0.250496,5998.68
15,2,1,5,0,2,1,2,0.611667,0.794583,0.147392,4100.18
28,1,0,2,0,1,1,2,0.407273,0.8763639999999999,0.289686,1518.52
14,1,0,2,0,1,1,1,0.415,0.375833,0.417908,3007.4
26,2,1,4,0,4,1,2,0.49833299999999997,0.756667,0.176625,5136.46
08,2,1,5,0,2,1,2,0.581667,0.685833,0.296029,2231.68
10,1,1,2,0,5,1,2,0.280833,0.54,0.11692899999999999,6647.74
27,2,1,3,0,2,1,1,0.323333,0.29,0.187192,2731.3
28,2,1,3,0,3,1,1,0.484167,0.48125,0.291671,3227.66
31,1,1,1,0,2,1,1,0.39,0.416667,0.261817,1476.36
23,2,1,3,0,5,1,2,0.601667,0.694167,0.1163,4385.46
05,1,1,3,0,1,1,1,0.243333,0.50625,0.228858,5292.56
21,4,1,11,0,3,1,1,0.353333,0.61375,0.103246,4326.44
21,1,0,1,0,5,1,1,0.1775,0.457083,0.353242,3364.86
20,1,1,1,0,5,1,2,0.2175,0.45,0.20275,2065.14
17,1,0,2,0,4,1,1,0.43583299999999997,0.505,0.230104,5582.72
05,4,0,10,0,3,1,1,0.538333,0.647917,0.17725,3594.86
28,4,0,10,0,5,1,2,0.330833,0.585833,0.229479,4133.04
04,4,0,10,0,2,1,1,0.484167,0.71,0.205854,5139.8
15,2,1,6,0,5,1,1,0.639167,0.589583,0.176617,5340.04
17,3,0,9,0,6,0,2,0.491667,0.718333,0.189675,4923.32
31,1,0,12,0,6,0,1,0.41,0.615833,0.220154,2070.0
28,4,0,9,0,3,1,2,0.635,0.84875,0.14862899999999998,6237.94
16,1,1,3,0,5,1,2,0.43583299999999997,0.842083,0.113192,6627.8
05,4,1,12,0,3,1,1,0.438333,0.485,0.324021,1955.0
14,2,1,5,0,1,1,2,0.573333,0.789583,0.21269200000000002,4603.78
22,3,1,8,0,3,1,1,0.6675,0.677083,0.0702833,4599.82
04,2,0,5,0,3,1,2,0.414167,0.737083,0.328996,1938.92
09,1,1,2,0,4,1,1,0.265,0.562083,0.194037,2136.08
10,3,0,8,0,3,1,1,0.766667,0.424167,0.200258,4494.34
21,3,1,8,0,2,1,1,0.649167,0.67375,0.07277080000000001,3612.3
25,2,0,5,0,3,1,1,0.660833,0.69625,0.15423299999999998,4990.32
26,1,0,12,1,1,0,1,0.321739,0.506957,0.239465,4436.88
