season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
3,0,8,0,0,0,1,0.7425,0.752917,0.201487,3785,4430.38298004805
3,0,8,0,4,1,1,0.7175,0.42375,0.164796,4792,4889.74681091792
3,0,8,0,6,0,2,0.685833,0.729583,0.211454,4150,4284.28492065826
3,0,8,0,1,1,1,0.691667,0.47,0.27675,4758,4772.69591835137
3,0,8,0,0,0,1,0.707059,0.561765,0.304659,4334,4695.88721951414
3,0,8,0,2,1,1,0.639167,0.548333,0.125008,5204,4903.01836932766
3,0,8,0,3,1,1,0.656667,0.597917,0.0833333,5058,4906.91708233541
3,0,9,0,2,1,3,0.54,0.886957,0.343943,2710,2933.59197738095
3,0,9,0,4,1,3,0.633913,0.939565,0.192748,1842,2976.5685718254
3,0,9,0,3,1,1,0.673333,0.697083,0.1673,4785,4794.89515507298
3,0,9,0,4,1,2,0.628333,0.902083,0.128125,4795,3683.74159759962
4,0,10,0,0,0,2,0.356667,0.791667,0.222013,2918,3286.07465543361
4,0,10,0,6,0,1,0.4225,0.629167,0.0926667,4308,4229.27452287049
4,0,10,0,4,1,2,0.47,0.812917,0.197763,2659,4021.23978733641
4,0,11,0,1,1,1,0.395,0.75875,0.057225,4035,3966.50965589703
4,0,11,0,4,1,2,0.341667,0.575833,0.305362,3053,3460.08699992786
4,0,11,0,1,1,3,0.4475,0.91,0.138054,2765,2372.80416659774
4,0,11,0,0,0,1,0.459167,0.698333,0.208954,3071,3928.37106122152
4,0,12,0,4,1,1,0.3125,0.524583,0.220158,3727,3501.96686828887
4,0,12,0,6,0,1,0.299167,0.612917,0.0957833,3614,3501.15734175496
4,0,12,0,2,1,1,0.2825,0.59,0.14055,3523,3534.81691848187
1,0,12,0,3,1,2,0.428333,0.858333,0.2214,2660,2423.87818193473
1,0,12,0,6,0,1,0.3025,0.5425,0.190304,1011,2398.22353711348
1,0,12,0,0,0,1,0.274783,0.681304,0.155091,754,2307.07823711348
1,0,12,1,1,0,1,0.321739,0.506957,0.239465,1317,2302.65809193644
1,0,12,0,4,1,1,0.248333,0.574167,0.119412,2423,2344.6251549845
1,1,1,0,6,0,1,0.393333,0.531667,0.174758,4521,3852.83444771399
1,1,1,0,4,1,2,0.3825,0.802917,0.180967,4097,3218.30363203628
1,1,1,0,0,0,2,0.1625,0.79625,0.199638,1977,2060.39787709542
1,1,1,0,3,1,1,0.294167,0.64375,0.161071,4270,3539.85495912452
1,1,1,0,6,0,1,0.315833,0.543333,0.210829,4023,3505.65822684597
1,1,2,0,6,0,2,0.264167,0.779583,0.121896,2832,2650.87331649419
1,1,2,0,2,1,1,0.354167,0.49625,0.147379,4375,4068.51754576214
1,1,2,0,4,1,1,0.265,0.562083,0.194037,3830,3460.64274101208
1,1,2,0,1,1,1,0.2225,0.41125,0.167283,3422,2997.12375776958
1,1,2,0,0,0,2,0.28,0.515833,0.253112,2689,3099.62157149318
1,1,2,0,0,0,1,0.279167,0.41,0.205229,3389,3355.87523237645
1,1,2,0,2,1,1,0.359167,0.395833,0.193417,4363,4086.93785647642
1,1,3,0,4,1,1,0.485833,0.615417,0.226987,4990,5328.04579522111
1,1,3,0,5,1,2,0.353333,0.657083,0.144904,3194,4040.34106259886
1,1,3,0,1,1,1,0.243333,0.50625,0.228858,3333,3262.37682423321
1,1,3,0,2,1,1,0.258333,0.456667,0.200875,3956,3515.98620771084
1,1,3,0,2,1,1,0.565,0.6175,0.23695,5847,5471.56489589266
2,1,3,0,3,1,2,0.531667,0.82125,0.0895583,6230,5259.31928955535
2,1,3,0,4,1,1,0.554167,0.83125,0.117562,6871,5729.72499920677
2,1,3,0,6,0,2,0.5025,0.885417,0.192783,3372,4825.46428545812
2,1,3,0,5,1,2,0.37,0.580833,0.138067,5459,4638.93535814743
2,1,4,0,1,1,1,0.433913,0.504348,0.312139,5936,5523.93176322719
2,1,4,0,1,1,1,0.489167,0.3175,0.358196,5585,5451.57014694084
2,1,4,0,3,1,1,0.348696,0.469565,0.295274,4862,4983.67230524021
2,1,4,0,2,1,1,0.413333,0.454167,0.249383,5633,5581.30842852692
2,1,4,0,5,1,1,0.4575,0.400833,0.347633,6233,5842.69907609613
2,1,5,0,5,1,1,0.6275,0.735417,0.162938,6296,6742.29031023896
2,1,5,0,1,1,2,0.5375,0.664167,0.230721,6273,5677.35827145074
2,1,5,0,4,1,1,0.505833,0.552083,0.314063,6572,6541.38395781133
2,1,5,0,2,1,2,0.615,0.765833,0.118167,6073,5571.17892447598
2,1,6,0,4,1,1,0.6025,0.567083,0.15735,7494,7095.15932275872
2,1,6,0,5,1,1,0.649167,0.467917,0.175383,7736,7120.98068051705
2,1,6,0,0,0,1,0.726667,0.538333,0.133721,6598,6299.25370387476
2,1,6,0,1,1,2,0.720833,0.587917,0.207713,6664,6254.53061266369
2,1,6,0,2,1,2,0.653333,0.833333,0.214546,4972,4873.0690118951
2,1,6,0,3,1,1,0.7825,0.592083,0.113812,6211,6541.56526686462
3,1,6,0,6,0,1,0.765,0.60125,0.161071,5687,6429.43978235815
3,1,7,0,2,1,1,0.780833,0.492083,0.126237,6660,6483.46046536943
3,1,7,0,4,1,1,0.8275,0.457917,0.194029,6241,6235.21495563115
3,1,7,0,6,0,1,0.861667,0.492083,0.163554,4840,5590.40002393295
3,1,7,0,3,1,1,0.716667,0.633333,0.151733,7264,7220.90890514473
3,1,7,0,0,0,1,0.745833,0.717917,0.166667,6031,6158.80545676708
3,1,7,0,4,1,1,0.776667,0.596667,0.284813,6861,6449.23381887208
3,1,8,0,0,0,1,0.769167,0.6525,0.290421,5464,6327.15070857198
3,1,8,0,1,1,2,0.7525,0.654167,0.129354,7013,6822.177840221
3,1,8,0,2,1,1,0.726667,0.686667,0.169158,6784,7010.12955253416
3,1,8,0,2,1,1,0.728333,0.62,0.190925,7040,7043.74892175746
3,1,8,0,3,1,1,0.685,0.552083,0.112562,7697,7384.23096587161
3,1,9,0,3,1,1,0.736667,0.74125,0.187808,7112,6862.07136279891
3,1,9,0,1,1,1,0.583333,0.50375,0.258713,7525,6974.8317606014
3,1,9,0,2,1,1,0.5775,0.52,0.0920542,7767,7272.45099960294
3,1,9,0,4,1,1,0.6125,0.637083,0.0827208,7804,7583.72532830628
3,1,9,0,5,1,1,0.633333,0.6725,0.103863,8009,7566.50464636878
3,1,9,0,1,1,2,0.580833,0.734583,0.151742,6869,6162.49063181078
3,1,9,0,2,1,2,0.623333,0.8725,0.357587,4073,4456.92175719803
3,1,9,0,3,1,1,0.5525,0.536667,0.215175,7591,7346.54066074352
4,1,10,0,2,1,1,0.468333,0.558333,0.182221,7534,7004.1415584335
4,1,10,0,4,1,2,0.5225,0.728333,0.236937,7509,6175.3998439933
4,1,10,0,5,1,2,0.545833,0.807083,0.132467,7444,6037.82198866503
4,1,10,0,3,1,2,0.3575,0.666667,0.166667,5566,5319.19684190136
4,1,11,0,1,1,1,0.319167,0.494167,0.236325,5259,5120.77897481245
4,1,11,0,4,1,1,0.352174,0.333478,0.347835,5315,4860.21228481487
4,1,11,1,1,0,1,0.485,0.741667,0.173517,6269,5535.8502058608
4,1,11,0,3,1,1,0.289167,0.552083,0.199625,5495,5222.93781987148
4,1,11,0,5,1,1,0.345,0.524583,0.171025,5698,5419.28384674184
4,1,11,0,1,1,2,0.380833,0.623333,0.235067,5499,4950.47647033767
4,1,11,0,2,1,2,0.374167,0.685,0.082725,5634,4667.84507913998
4,1,11,0,6,0,1,0.278333,0.404583,0.376871,2277,4251.9354774043
4,1,11,0,4,1,1,0.28087,0.555652,0.115522,5323,5081.64180345734
4,1,12,0,1,1,2,0.435833,0.925,0.190308,5170,4382.38007873483
1,1,12,0,5,1,2,0.326667,0.556667,0.374383,3623,3225.41508784548
1,1,12,0,5,1,2,0.253333,0.59,0.155471,3095,2757.9459405663
1,1,12,0,6,0,2,0.253333,0.752917,0.124383,1341,2310.75818228367
